Countryname,ISO,WEO Country Code,Indicator,Units,Frequency,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010
Gibraltar,GIB,823,Intensive Margin,Index,Annual,0.373481,4.17928,5.55497,3.21557,2.82859,2.05381,2.37792,0.501986,2.15336,3.89551,2.51986,2.5457,2.68848,2.56373,2.80017,2.73525,2.46828,2.60337,2.3849,2.14526,2.55923,3.86037,2.73025,3.3476,2.27256,2.11546,3.53382,3.32091,3.18697,3.10088,2.74032,3.10385,3.14353,3.52565,3.62442,3.48133,3.42265,3.54283,3.20138,4.28431,3.63235,4.29009,4.08656,4.67885,4.03396,3.85768,3.5356,3.75741,4.17507
Guinea,GIN,656,Intensive Margin,Index,Annual,3.28461,3.32004,3.19067,3.1624,2.98294,3.25855,3.34826,3.35707,3.39499,3.67163,3.7533,3.34537,3.31472,3.49372,3.73982,3.58417,3.61595,3.5602,3.64055,3.89036,3.78133,3.7671,3.8412,3.91198,3.64928,3.41738,3.48691,3.4511,3.4824,3.47049,3.41131,3.32597,3.2565,3.10529,3.36043,3.29395,3.28077,3.21441,3.29925,3.30869,3.64488,3.41635,3.45317,3.45708,3.58059,4.19941,3.57352,3.51765,4.02444
"Gambia, The",GMB,648,Intensive Margin,Index,Annual,3.24063,3.47718,3.53307,3.7598,3.89973,4.16411,3.99998,4.11368,4.11284,4.20041,3.96281,3.7161,4.20722,4.01041,3.73241,4.00116,3.89998,3.51086,3.50327,3.9045,3.87894,3.83717,3.93822,3.34597,2.98564,3.54285,3.68331,3.76117,4.26808,4.74579,4.94493,4.21335,4.12814,4.73058,4.94176,5.01845,4.65895,4.48084,3.31099,2.53347,3.1446,3.09201,2.92016,3.08522,3.44349,3.26336,3.79387,3.38053,3.41058
Guinea-Bissau,GNB,654,Intensive Margin,Index,Annual,2.04863,2.19006,2.01368,1.89967,2.2801,1.94212,2.00729,2.11935,2.10302,1.88374,1.56781,2.25496,2.12953,3.15278,2.16777,2.28366,2.24528,2.1176,2.37429,3.18629,2.54846,2.90743,2.88353,3.53073,3.81967,4.14706,3.98596,4.05596,4.18947,4.55785,3.8928,4.07537,4.09464,3.99465,3.53911,4.66514,2.66572,4.68513,4.9499,5.19777,4.54807,4.49965,4.95352,5.54092,5.20889,5.38204,5.59327,5.50107,4.68675
Equatorial Guinea,GNQ,642,Intensive Margin,Index,Annual,1.67045,2.61808,3.26993,3.0265,3.23594,3.58683,3.30535,3.46982,3.48322,3.95585,4.18017,4.0248,3.74954,3.76119,3.29736,2.80254,4.25774,4.2286,3.85559,3.54779,3.39037,3.14413,3.19536,3.12028,3.1687,3.11924,2.80267,3.01974,3.08082,3.01749,3.26191,3.41217,3.49241,3.87424,4.46968,4.90358,5.09123,5.18224,5.46763,5.5622,5.60206,5.59729,5.69885,5.67006,5.64172,5.46033,5.35669,5.31438,5.3333
Greece,GRC,174,Intensive Margin,Index,Annual,2.87,2.84935,2.80616,2.64383,2.48151,2.61633,2.40787,2.25774,2.08339,2.05869,1.95299,1.92326,1.86579,1.80522,1.71846,1.69253,1.85229,1.9378,1.83872,1.93874,1.88455,1.9689,1.88579,1.90421,1.83832,1.92601,1.93008,1.9063,1.90132,1.95659,1.91331,1.63308,1.70407,1.63879,1.6979,1.57926,1.56456,1.64945,1.53689,1.52133,1.50968,1.50687,1.46129,1.43204,1.46221,1.39157,1.37269,1.46436,1.38766
Grenada,GRD,328,Intensive Margin,Index,Annual,,,,6.13988,,,,-0.000000014,3.36958,4.64423,3.04031,3.68147,3.51719,3.24024,3.88436,4.37041,4.09639,4.52046,4.39837,4.07956,3.93854,3.82799,3.87323,4.13883,4.30005,4.36889,3.67328,3.46181,3.09649,3.17713,3.35845,3.26599,3.17525,3.06444,3.12556,3.23918,4.52734,3.62372,3.55279,3.41655,3.26603,3.17339,3.58864,3.74367,3.24792,3.65684,3.34813,3.47883,3.52989
Greenland,GRL,326,Intensive Margin,Index,Annual,,,,,6.19848,,,5.71206,1.66873,5.32135,5.28376,4.54167,4.03626,4.0528,4.01366,3.94925,4.15503,4.11876,4.12244,4.23391,4.21731,4.43603,4.41444,4.57891,4.84694,4.82191,4.71002,4.77657,4.7791,4.93294,4.98804,4.86394,5.06064,4.93537,4.9736,4.812,4.81337,4.8627,4.75087,4.74635,4.85054,4.83244,4.69571,4.69699,4.58343,4.58317,4.5878,4.71681,4.70179
Guatemala,GTM,258,Intensive Margin,Index,Annual,2.88476,2.77455,2.71241,2.85061,2.71322,2.4302,2.44436,2.39964,2.37921,2.36977,2.37815,2.28007,2.25069,2.2451,2.33385,2.63799,2.43656,2.46101,2.26264,2.07702,2.20779,2.18856,2.22641,2.17627,2.63146,2.28185,2.08158,2.15161,2.07625,2.11819,2.28075,2.17126,2.21085,2.26603,2.25649,2.39839,2.41208,2.46143,2.50292,2.55889,2.60956,2.64857,2.64425,2.50465,2.46611,2.26495,2.18585,2.17154,2.10127
Guyana,GUY,336,Intensive Margin,Index,Annual,2.38327,2.75078,2.41148,2.23152,2.23482,2.27154,2.25899,2.28581,2.24383,2.20498,2.34123,2.33125,2.3626,2.38915,2.43616,2.45029,2.46119,2.37628,2.28408,2.24372,2.32737,2.43086,2.4329,2.69075,2.56372,2.64514,2.65038,2.565,2.4661,2.45958,2.52942,2.5982,2.44992,2.68928,2.84015,2.48657,2.42709,2.43449,2.28228,2.21672,2.15865,2.12924,2.17976,2.23678,2.06039,2.13381,2.24828,2.18554,2.13237
"Hong Kong, China",HKG,532,Intensive Margin,Index,Annual,2.09288,2.41093,2.42892,2.43319,2.42718,2.45098,2.52548,2.55364,2.56674,2.62537,2.56939,2.40607,2.35007,2.52268,2.55932,2.41445,2.38852,2.30892,2.17429,2.15624,2.144,2.10214,2.04194,2.40885,2.35077,2.18036,2.0512,2.07093,2.12421,2.1195,1.90617,2.00009,2.02106,2.06599,2.09588,2.16638,2.21947,2.23425,2.25191,2.19024,2.26071,2.22382,2.23049,2.19836,2.18957,2.10464,2.09241,2.08363,2.11374
Honduras,HND,268,Intensive Margin,Index,Annual,2.572,2.45535,2.57118,2.79905,2.8341,2.85582,2.76377,2.81615,2.7545,2.92767,2.75964,2.50669,2.37444,2.13917,2.27157,2.41179,2.43963,2.38567,2.43853,2.47291,2.4574,2.31007,2.43623,2.43562,2.51604,2.51151,2.38918,2.28311,2.27264,2.26301,2.43186,2.56452,2.61982,2.89572,3.13207,3.30437,3.41008,3.63839,3.70358,3.74183,3.74864,3.75834,3.71234,3.59865,3.51354,3.37303,3.34673,3.33269,3.3251
Croatia,HRV,960,Intensive Margin,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6328,1.90739,1.99616,1.88965,1.85817,1.82188,1.89745,1.86378,1.93353,1.85757,1.78565,1.7878,1.896,1.7255,1.69559,1.6009,1.58697,1.68545,1.73224
Haiti,HTI,263,Intensive Margin,Index,Annual,2.26506,2.59631,2.37877,2.60275,2.48206,2.40788,2.30933,2.14311,2.05063,2.28104,2.21784,1.96992,2.11212,2.03036,2.24314,2.26722,2.08895,2.07202,2.10984,2.03319,2.14128,2.26072,2.31369,2.38731,2.43232,2.45424,2.42142,2.38959,2.36875,2.33758,2.30159,2.33414,2.07456,2.14366,2.4255,2.56981,2.68508,3.01132,3.06496,3.04016,2.98389,3.25233,3.39032,3.42674,3.3163,3.24814,3.03034,3.31186,3.2845
Hungary,HUN,944,Intensive Margin,Index,Annual,1.32671,1.33306,1.22369,1.27828,1.26795,1.3218,1.33383,1.40322,1.33702,1.33283,1.47091,1.45996,1.32349,1.23054,1.13467,1.09495,1.20567,1.18271,1.19296,1.16559,1.13993,1.15396,1.2111,1.20371,1.15891,1.15114,1.1848,1.18357,1.15831,1.2093,1.2267,1.26244,1.28901,1.38608,1.40573,1.68902,1.91187,2.08424,2.11641,2.0229,1.93688,1.97053,2.17453,2.18984,2.07316,2.04692,2.00138,2.0399,2.05401
Indonesia,IDN,536,Intensive Margin,Index,Annual,2.87808,2.68769,2.70907,2.77435,2.64123,2.69547,2.80914,2.77461,2.78665,2.84885,3.00797,3.14476,3.67625,3.80726,3.7466,3.61421,3.50357,3.39091,3.50335,3.84696,3.83249,3.69859,3.50055,3.34555,3.12999,3.02215,2.77524,2.66096,2.74058,2.63726,2.4843,2.38187,2.23402,2.12585,2.07572,2.02492,1.79399,1.83911,1.92111,1.87451,1.87067,1.80675,1.81531,1.86186,1.83746,1.75162,1.83248,1.86695,1.86345
